"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","10uF/16V","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C2,C3","2","4.7uF/16V","","","","Capacitor_SMD:C_0805_2012Metric","~"
"CN1","1","Conn_01x02_Pin","","","","Connector_BarrelJack:BarrelJack_CUI_PJ-063AH_Horizontal","~"
"CN2","1","Conn_01x02_Pin","","","","Battery:BatteryHolder_Bulgin_BX0034_1xAAA","~"
"D1","1","PTVS5V0Z1USK","","","","Diode_SMD:Nexperia_DSN1608-2_1.6x0.8mm","https://assets.nexperia.com/documents/data-sheet/PTVS5V0Z1USK.pdf"
"D2","1","CHARGING","","","","LED_SMD:LED_0805_2012Metric","~"
"F1","1","Fuse","","","","Fuse:Fuse_BelFuse_0ZRE0005FF_L8.3mm_W3.8mm","~"
"H1,H2,H3,H4","4","MountingHole","","Excluded from BOM","","MountingHole:MountingHole_2.1mm","~"
"R1","1","2K","","","","Resistor_SMD:R_0805_2012Metric","~"
"R2","1","470","","","","Resistor_SMD:R_0805_2012Metric","~"
"U1","1","MCP73831T-2ACI_OT","","","","Package_TO_SOT_SMD:SOT-23-5_HandSoldering",""
